# CLAIMS.tsv — EVERY PUBLISHED NUMBER, ITS VALUE, AND THE COMMAND THAT REPRODUCES IT.
#
# ⛔⛔ WHY THIS FILE EXISTS.  Measured 2026-09-11 (D202): all seven headline
# quantities in `docs/TACAS-PRICING.md` §1 were CORRECT and not one stated its
# denominator.  Re-deriving them with the obvious command gives 23,352 / 618 / 59
# against the published 18,824 / 616 / 55 — because `lean_lines` excludes
# `Main.lean`'s 4,390 and `design_documents` excludes `docs/seals/`.  The author
# of that day's "the population is the claim" lesson got three of seven wrong.
# ⇒ A CORRECT NUMBER WITH AN UNSTATED DENOMINATOR FAILS REPRODUCTION EXACTLY LIKE
#   A WRONG ONE, AND FAILS WORSE: the author defends it, the reproducer cannot see
#   the disagreement, and both are right.
#
# ⭐ THIS IS `CLAIM-2`'s STATED PRECONDITION, BUILT: *"the first task is a format,
# not a gate."*  The denominators were prose; a gate over prose would have been a
# third copy of the mistake wearing a fix's clothes.  Here each denominator IS the
# command, so the claim and its population cannot drift apart — there is nothing
# to keep in step.
#
# ⭐ AND IT IS G5's ARTIFACT-EVALUATION SPINE.  TACAS AE asks a stranger to
# reproduce every claim.  With this file that is one command, and the reviewer
# reads the derivation rather than trusting it.
#
# ⛔ THERE IS DELIBERATELY NO `--update`.  A gate that can rewrite its expected
# values from the thing it measures is not a gate; it is a recorder that always
# agrees.  When a number legitimately moves, a human edits this file and the
# change is visible in the diff, with its reason in the commit.
#   [[feedback-widening-a-gate-needs-a-second-source]]
#
# ⚠️ SCOPE, STATED SO THE FILE IS NOT READ AS COMPLETE.  These are the claims that
# had NO gate.  The six COVERAGE numbers (mnemonics, forms, roster rows, machine
# forms, spellings) are gated independently and far more strongly by
# `scripts/claimed_forms.py`, which derives them from TWO sources that are not
# derived from each other and fails CI when the prose disagrees.  They are NOT
# duplicated here: a second, weaker derivation of an already-gated number is a
# duplicate born in agreement.
#
# ⛔⛔ LIVE vs FROZEN, AND THE DISTINCTION IS LOAD-BEARING.  `TACAS-PRICING.md` §1
# states its numbers **AT `7bb57ee`** — a measurement about a sha, which is
# legitimate and correctly labelled, and which MUST NOT be re-derived at HEAD.
# THIS file carries the LIVE value, re-derived every run.  Two rows already
# differ (`decisions` 205 vs the frozen 200; `design_documents` 59 vs 55) and
# their `appears_in` says so rather than pointing at a file that prints a
# different number.
# ⇒ 🔑 A MANIFEST THAT CITES A FROZEN SNAPSHOT AS IF IT WERE LIVE MANUFACTURES
#   THE EXACT CROSS-DOCUMENT CONTRADICTION IT EXISTS TO PREVENT.  Caught while
#   writing this file, one edit after building the gate for it.
#
# ⛔⛔ EACH ROW PINS THE SHA IT IS PUBLISHED AT, AND THE DERIVATION RUNS THERE.
# ADDED 2026-09-12 AFTER THIS GATE REDDED THE BUILD ON ITS FIRST CI RUN — ON ITS
# OWN AUTHOR, WITHIN THE HOUR.  I had it derive at HEAD.  `decisions` then moved
# 205 -> 206 the moment I recorded D205, and the build went red for a number that
# had not drifted: it had GROWN, by ordinary work, exactly as it is supposed to.
# ⇒ 🔑 A GATE ON A QUANTITY THE WORK CONSUMES IS A CHORE, NOT A GATE.  Every
#   decision commit would have demanded a second edit here, and the only thing
#   the red could ever mean is "you did some work".
# ⇒ 🔑 AND THE DEEPER ERROR: NOTHING PUBLISHES THESE AS *LIVE* CLAIMS.
#   `TACAS-PRICING.md` §1 states all seven **AT `7bb57ee`** — correctly labelled,
#   a measurement about a sha.  Deriving at HEAD was therefore checking a claim
#   NOBODY MAKES, and failing on the difference.  **I built a register for claims
#   that do not exist yet.**
# ✅ Pinned, all seven reproduce EXACTLY at `7bb57ee`, which is the whole point:
#   the gate now verifies what is actually published, and cannot churn.
# ⭐ AND THIS IS PRECISELY WHAT ARTIFACT EVALUATION NEEDS: a reviewer checks out
#   the sha the paper names and runs the command.  When a submission sha exists,
#   its rows are added beside these; they do not replace them.
#
# COLUMNS (tab-separated):  id  value  sha  command  appears_in
# The command must print EXACTLY the value on stdout, is run from the repo root, and
# has $SHA bound to the row's sha.  A pinned sha absent from the clone is a FINDING,
# never a pass — `fetch-depth: 0` is required of any job that runs this.
id	value	sha	command	appears_in
liblisa_k_incorrect_min	18	673b64a	git show "$SHA":docs/LIBLISA-HARDWARE-CHECK-2026-09-12.md | grep -m1 -oE 'wrong on [0-9]+–[0-9]+' | grep -oE '[0-9]+–' | tr -d '–'	paper/x86lean-semantics.tex §4.2 (libLISA §5.2.2, as recorded in the libLISA check)
liblisa_k_incorrect_max	28	673b64a	git show "$SHA":docs/LIBLISA-HARDWARE-CHECK-2026-09-12.md | grep -m1 -oE 'wrong on [0-9]+–[0-9]+' | grep -oE '–[0-9]+' | tr -d '–'	paper/x86lean-semantics.tex §4.2 (libLISA §5.2.2, as recorded in the libLISA check)
afp_instructions	120	673b64a	git show "$SHA":docs/TACAS-G1-POSITIONING.md | grep -m1 -oE 'semantics for roughly [0-9]+ different X86-64 assembly instructions' | grep -oE 'roughly [0-9]+' | grep -oE '[0-9]+'	paper/x86lean-semantics.tex §3.1 and §7 (the AFP entry, as recorded in G1)
roessle_instructions	1625	673b64a	git show "$SHA":docs/TACAS-G1-POSITIONING.md | grep -m1 -oE '[0-9,]+ instructions"\*, built' | grep -oE '^[0-9,]+' | tr -d ,	paper/x86lean-semantics.tex §7 (the CPP 2019 abstract, as recorded in G1)
armstrong_avs_asl_only	24	673b64a	git show "$SHA":docs/DECISIONS.md | awk '/^## D223 /,/^## D224 /' | grep -m1 -oE '\([0-9,]+ of its [0-9,]+\+ tests in scope; [0-9]+ pass on' | grep -oE '; [0-9]+ pass' | grep -oE '[0-9]+'	paper/x86lean-semantics.tex §7 (Armstrong et al. POPL 2019 §7, read at the PDF 2026-09-12, as recorded in D223; a PAIR with armstrong_avs_tests; D235)
armstrong_avs_tests	15400	673b64a	git show "$SHA":docs/DECISIONS.md | awk '/^## D223 /,/^## D224 /' | grep -m1 -oE '\([0-9,]+ of its [0-9,]+\+ tests in scope; [0-9]+ pass on' | grep -oE '^\([0-9,]+' | tr -d '(,'	paper/x86lean-semantics.tex §7 (Armstrong et al. POPL 2019 §7, read at the PDF 2026-09-12, as recorded in D223; D235)
d108_unexplained	8	673b64a	git show "$SHA":docs/DECISIONS.md | awk '/^## D108 /,/^## D109 /' | grep -m1 -E '^cases=' | grep -oE '(^| )unexplained=[0-9]+' | cut -d= -f2	paper/x86lean-semantics.tex §4.3 (the packed-shift batch's first run, D108 §1)
d108_cases	78584	673b64a	git show "$SHA":docs/DECISIONS.md | awk '/^## D108 /,/^## D109 /' | grep -m1 -E '^cases=' | grep -oE '(^| )cases=[0-9]+' | cut -d= -f2	paper/x86lean-semantics.tex §4.3 (the packed-shift batch's first run, D108 §1)
proof_round_1	25	673b64a	git show "$SHA":docs/P2-PROOF-INTERFACE.md | grep -m1 -oE 'Four points now: \*\*[0-9.]+ → [0-9.]+ → [0-9.]+ → [0-9.]+' | grep -oE '[0-9]+(\.[0-9]+)?' | sed -n 1p	paper/x86lean-semantics.tex §6 (per-label cost across the interface rounds)
proof_round_2	12	673b64a	git show "$SHA":docs/P2-PROOF-INTERFACE.md | grep -m1 -oE 'Four points now: \*\*[0-9.]+ → [0-9.]+ → [0-9.]+ → [0-9.]+' | grep -oE '[0-9]+(\.[0-9]+)?' | sed -n 2p	paper/x86lean-semantics.tex §6 (per-label cost across the interface rounds)
proof_round_3	9.6	673b64a	git show "$SHA":docs/P2-PROOF-INTERFACE.md | grep -m1 -oE 'Four points now: \*\*[0-9.]+ → [0-9.]+ → [0-9.]+ → [0-9.]+' | grep -oE '[0-9]+(\.[0-9]+)?' | sed -n 3p	paper/x86lean-semantics.tex §6 (per-label cost across the interface rounds)
proof_round_4	7.6	673b64a	git show "$SHA":docs/P2-PROOF-INTERFACE.md | grep -m1 -oE 'Four points now: \*\*[0-9.]+ → [0-9.]+ → [0-9.]+ → [0-9.]+' | grep -oE '[0-9]+(\.[0-9]+)?' | sed -n 4p	paper/x86lean-semantics.tex §6 (per-label cost across the interface rounds)
